,Postal Code,City,State,Overall Niche Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
354,12758,Livingston Manor,NY,C+,C+,B-,C+,C+,C+,B,B-,C,B-,B-,B,B
355,46222,Indianapolis,IN,B-,C-,C-,C,A,C+,A,C-,B-,A-,B-,B+,A-
358,13687,South Colton,NY,C,C+,B,C+,B+,C,C+,C-,C-,B,C+,B,C+
359,49441,Muskegon,MI,B+,B-,C,B,A,B+,B+,B-,C-,A-,B+,A-,A-
360,29429,Awendaw,SC,B+,A,C,B,B-,B+,A,B+,A-,B,B-,B-,B
362,30564,Murrayville,GA,B,B,C,B-,B-,B-,B-,B+,B,B+,B,B-,B
364,87421,Waterflow,NM,C,C-,C+,B+,C,C-,NG,B-,C-,B+,B-,B-,B
365,54942,Greenville,WI,A-,A-,B,A-,A-,A+,C-,A-,C,B+,B-,A-,B
366,08732,Island Heights,NJ,B,C+,B+,C-,C,B-,B-,B,B,C-,B,B+,A-
367,55069,Rush City,MN,B,B,A-,B,A-,A-,B,B,C,B+,B-,A-,B
368,12418,Cornwallville,NY,B-,C+,A+,A,C,B+,B-,B,C,B+,C+,B,C+
369,20783,Hyattsville,MD,B,C-,C+,C-,A,C+,A,C+,B,C+,A-,A-,A
370,04357,Richmond,ME,B-,B-,A,B-,B-,B,C+,B,C,B,B+,B,B
371,85226,Chandler,AZ,A,A,C+,B+,A,A-,A,A-,A,B-,A,C+,A-
372,51542,Honey Creek,IA,C+,B-,C+,B+,C,B-,C,A-,B-,A-,C-,B-,C+
374,41514,Belfry,KY,C+,C+,B-,B-,B-,C+,C+,C-,A-,A-,C,C+,B
375,71303,Alexandria,LA,B+,B,C-,B,A-,B-,A,B-,B+,B+,B,C+,A-
376,90210,Beverly Hills,CA,A-,B-,C,D+,B,B,B,B+,A+,D+,A+,A,B
377,87539,La Madera,NM,C,C-,NG,D,C-,D-,C-,D+,C-,C,B,B-,B-
378,31716,Baconton,GA,C+,C+,C+,B-,B-,C,A-,C-,A,A-,C+,C+,B
